Timestamp,Open,OpenScaled,High,Low,Close,CloseScaled,Volume,EMA_20,EMA_40,EMA_200,RSI,MACD,Signal,PercentChange
2023-11-15,450.11,45011,451.38,448.8,449.68,44968,77327573,457.1267621,464.844995,497.3354341,35.9045505,-5.445596275,-5.535506231,2
2023-11-14,446.32,44632,450.06,446.09,448.73,44873,97176935,456.3270705,464.0588977,496.8517979,27.02860479,-5.464516501,-5.521308285,19
2023-11-13,439.23,43923,441.33,438.42,440.19,44019,52236068,454.7902066,462.8945612,496.2879989,17.74824081,-6.098319908,-5.636710609,-1
2023-11-10,435.98,43598,440.93,433.8335,440.61,44061,89558054,453.4397107,461.8075094,495.733989,10.80966511,-6.491888733,-5.807746234,15
2023-11-09,438.43,43843,438.47,433.4,433.84,43384,83174417,451.5730716,460.4432407,495.1181284,9.219088937,-7.266315718,-6.099460131,-8
2023-11-08,437.55,43755,438.09,434.87,437.25,43725,61746027,450.2089696,459.3118631,494.5423261,20.35519126,-7.518230698,-6.383214244,0
2023-11-07,435.69,43569,437.585,434.51,436.93,43693,64256114,448.9443058,458.2200649,493.9690691,19.26229508,-7.655449208,-6.637661237,2
2023-11-06,435.47,43547,436.1498,433.68,435.69,43569,67831660,447.681991,457.1210373,493.3891779,18.75623545,-7.774632379,-6.865055465,2
2023-11-03,433.14,43314,436.29,433.01,434.69,43469,100167775,446.4446585,456.0268404,492.8051065,15.9338843,-7.859181789,-7.06388073,9
2023-11-02,426.58,42658,430.915,426.56,430.76,43076,94938909,444.9508815,454.7943116,492.1877422,14.21828909,-8.149365152,-7.280977614,19
2023-11-01,419.2,41920,423.5,418.6499,422.66,42266,98068115,442.8279404,453.2267842,491.4959239,11.97515528,-8.930000377,-7.610782167,10
2023-10-31,416.18,41618,418.53,414.21,418.2,41820,79665150,440.4824223,451.5181606,490.7666112,8.760292772,-9.795626262,-8.047750986,6
2023-10-30,413.56,41356,416.68,412.22,415.59,41559,86562675,438.1117154,449.7655674,490.0185852,8.936070929,-10.57039724,-8.552280237,11
2023-10-27,414.19,41419,414.6,409.21,410.68,41068,107367671,435.4991711,447.8589543,489.2291466,8.11268799,-11.44863208,-9.131550606,-5
2023-10-26,416.45,41645,417.325,411.6,412.55,41255,115156761,433.3135357,446.1365663,488.46617,11.74531218,-11.85706528,-9.676653542,-12
2023-10-25,421.89,42189,421.92,417.015,417.55,41755,94223198,431.8122466,444.7420997,487.7605365,20.34994294,-11.64307916,-10.06993866,-15
2023-10-24,422.65,42265,424.82,420.74,423.63,42363,78564239,431.032985,443.7122411,487.1224217,33.47964884,-10.8577273,-10.22749639,7
2023-10-23,419.61,41961,424.45,417.8,420.46,42046,92035095,430.0260341,442.5779855,486.459114,30.94382448,-10.37156585,-10.25631028,-2
2023-10-20,425.98,42598,426.54,421.08,421.19,42119,123919874,429.184507,441.5346691,485.8096701,36.49370062,-9.814242021,-10.16789663,-13
2023-10-19,430.95,43095,432.82,425.725,426.43,42643,121322957,428.922173,440.797856,485.2188276,38.88203864,-8.847743388,-9.903865982,-9
